timestamp,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb,mem_free_mb,power_draw_w,power_limit_w,temp_c
2026/05/22 21:11:48.669,76.0,63.0,22937.0,46068.0,22533.0,222.18,285.0,64.0
2026/05/22 21:11:50.688,69.0,55.0,22937.0,46068.0,22533.0,226.87,285.0,65.0
2026/05/22 21:11:52.705,81.0,64.0,22937.0,46068.0,22533.0,214.29,285.0,64.0
2026/05/22 21:11:54.723,81.0,62.0,22937.0,46068.0,22533.0,202.29,285.0,64.0
2026/05/22 21:11:56.740,75.0,52.0,22937.0,46068.0,22533.0,232.16,285.0,65.0
2026/05/22 21:11:58.758,83.0,32.0,22937.0,46068.0,22533.0,231.03,285.0,65.0
2026/05/22 21:12:00.775,55.0,34.0,22937.0,46068.0,22533.0,219.31,285.0,66.0
2026/05/22 21:12:02.793,65.0,47.0,22937.0,46068.0,22533.0,234.38,285.0,66.0
2026/05/22 21:12:04.811,77.0,64.0,22937.0,46068.0,22533.0,216.04,285.0,66.0
2026/05/22 21:12:06.829,73.0,63.0,22937.0,46068.0,22533.0,227.31,285.0,66.0
2026/05/22 21:12:08.846,77.0,56.0,22937.0,46068.0,22533.0,233.35,285.0,67.0
2026/05/22 21:12:10.864,59.0,22.0,22937.0,46068.0,22533.0,222.66,285.0,67.0
2026/05/22 21:12:12.882,72.0,56.0,22937.0,46068.0,22533.0,229.95,285.0,66.0
2026/05/22 21:12:14.900,76.0,40.0,22937.0,46068.0,22533.0,235.59,285.0,68.0
2026/05/22 21:12:16.916,87.0,48.0,22937.0,46068.0,22533.0,232.56,285.0,70.0
2026/05/22 21:12:18.935,82.0,47.0,22937.0,46068.0,22533.0,247.5,285.0,68.0
2026/05/22 21:12:20.954,62.0,38.0,22937.0,46068.0,22533.0,233.81,285.0,67.0
2026/05/22 21:12:22.972,81.0,61.0,22937.0,46068.0,22533.0,215.68,285.0,67.0
2026/05/22 21:12:24.989,83.0,64.0,22937.0,46068.0,22533.0,220.21,285.0,67.0
2026/05/22 21:12:27.005,82.0,64.0,22937.0,46068.0,22533.0,204.2,285.0,64.0
2026/05/22 21:12:29.021,0.0,0.0,22937.0,46068.0,22533.0,82.56,285.0,63.0
2026/05/22 21:12:31.038,78.0,69.0,22937.0,46068.0,22533.0,218.58,285.0,67.0
2026/05/22 21:12:33.056,69.0,33.0,22937.0,46068.0,22533.0,238.36,285.0,67.0
2026/05/22 21:12:35.073,74.0,51.0,22937.0,46068.0,22533.0,238.85,285.0,67.0
2026/05/22 21:12:37.089,61.0,31.0,22937.0,46068.0,22533.0,204.63,285.0,67.0
2026/05/22 21:12:39.106,0.0,0.0,22937.0,46068.0,22533.0,184.53,285.0,67.0
2026/05/22 21:12:41.125,75.0,70.0,22937.0,46068.0,22533.0,241.39,285.0,68.0
2026/05/22 21:12:43.141,72.0,57.0,22937.0,46068.0,22533.0,236.98,285.0,67.0
2026/05/22 21:12:45.157,71.0,61.0,22937.0,46068.0,22533.0,236.71,285.0,68.0
2026/05/22 21:12:47.175,72.0,59.0,22937.0,46068.0,22533.0,213.6,285.0,67.0
2026/05/22 21:12:49.193,68.0,49.0,22937.0,46068.0,22533.0,241.34,285.0,68.0
2026/05/22 21:12:51.210,69.0,55.0,22937.0,46068.0,22533.0,244.66,285.0,69.0
2026/05/22 21:12:53.228,80.0,61.0,22937.0,46068.0,22533.0,212.17,285.0,68.0
2026/05/22 21:12:55.246,63.0,45.0,22937.0,46068.0,22533.0,169.87,285.0,66.0
2026/05/22 21:12:57.265,81.0,36.0,22937.0,46068.0,22533.0,243.76,285.0,69.0
2026/05/22 21:12:59.282,61.0,48.0,22937.0,46068.0,22533.0,245.76,285.0,68.0
2026/05/22 21:13:01.299,78.0,62.0,22937.0,46068.0,22533.0,228.43,285.0,70.0
2026/05/22 21:13:03.316,79.0,64.0,22937.0,46068.0,22533.0,232.95,285.0,69.0
2026/05/22 21:13:05.333,81.0,64.0,22937.0,46068.0,22533.0,218.98,285.0,68.0
2026/05/22 21:13:07.348,81.0,60.0,22937.0,46068.0,22533.0,208.57,285.0,68.0
2026/05/22 21:13:09.365,100.0,41.0,22937.0,46068.0,22533.0,228.12,285.0,69.0
2026/05/22 21:13:11.384,60.0,39.0,22937.0,46068.0,22533.0,232.66,285.0,69.0
2026/05/22 21:13:13.402,62.0,46.0,22937.0,46068.0,22533.0,213.35,285.0,69.0
2026/05/22 21:13:15.420,81.0,35.0,22937.0,46068.0,22533.0,240.35,285.0,69.0
2026/05/22 21:13:17.438,58.0,38.0,22937.0,46068.0,22533.0,215.66,285.0,70.0
2026/05/22 21:13:19.455,74.0,67.0,22937.0,46068.0,22533.0,237.48,285.0,72.0
2026/05/22 21:13:21.474,64.0,49.0,22937.0,46068.0,22533.0,235.74,285.0,70.0
2026/05/22 21:13:23.493,60.0,45.0,22937.0,46068.0,22533.0,235.82,285.0,70.0
2026/05/22 21:13:25.512,79.0,64.0,22937.0,46068.0,22533.0,219.94,285.0,70.0
2026/05/22 21:13:27.530,83.0,47.0,22937.0,46068.0,22533.0,238.79,285.0,70.0
2026/05/22 21:13:29.548,76.0,49.0,22937.0,46068.0,22533.0,247.57,285.0,71.0
2026/05/22 21:13:31.567,72.0,34.0,22937.0,46068.0,22533.0,236.4,285.0,70.0
2026/05/22 21:13:33.585,76.0,62.0,22937.0,46068.0,22533.0,227.25,285.0,70.0
2026/05/22 21:13:35.603,83.0,64.0,22937.0,46068.0,22533.0,220.09,285.0,70.0
2026/05/22 21:13:37.620,83.0,64.0,22937.0,46068.0,22533.0,222.8,285.0,70.0
2026/05/22 21:13:39.637,83.0,64.0,22937.0,46068.0,22533.0,189.66,285.0,68.0
